
==============================================================================================================
                                BAI 10 - SELLER RANKING BY REVENUE AND ORDERS                                 
==============================================================================================================
Rank        Seller_ID                   Total_Revenue   Total_Orders  Total_Items_Sold  Avg_Revenue_Per_Item
------------------------------------------------------------------------------------------------------------
         1  4869f7a5dfa277a7dca6462...        249640.7          1132              1156                215.95
         2  7c67e1448b00f6e969d365c...       239536.44           982              1364                175.61
         3  53243585a1d6dc2643021fd...       235856.68           358               410                575.26
         4  4a3ca9315b744ce9f8e9374...       235539.96          1806              1987                118.54
         5  fa1c13f2614d7b5c4749cbc...       204084.73           585               586                348.27
         6  da8622b14eb17ae2831f4ac...       185192.32          1314              1551                 119.4
         7  7e93a43ef30c4f03f38b393...       182754.05           336               340                537.51
         8  1025f0e2d44d7041d6cf58b...       172860.69           915              1428                121.05
         9  7a67c85e85bb2ce8582c35f...       162648.38          1160              1171                 138.9
        10  955fee9216a65b617aa5c05...       160602.68          1287              1499                107.14
        11  6560211a19b47992c3666cc...       151265.77          1854              2033                 74.41
        12  1f50f920176fa81dab994f9...       142104.98          1404              1931                 73.59
        13  46dc3b2cc0980fb8ec44634...       139909.69           521               542                258.14
        14  a1043bafd471dff536d0c46...       133745.25           718               770                 173.7
        15  cc419e0650a3c5ba77189a1...       129957.41          1706              1775                 73.22
        16  620c87c171fb2a6dd6e8bb4...       128909.71           740               798                161.54
        17  5dceca129747e92ff8ef7a9...       125816.92           325               346                363.63
        18  7d13fca15225358621be408...       122261.02           565               578                211.52
        19  3d871de0142ce09b7081e2b...       117347.71          1080              1147                102.31
        20  edb1ef5e36e0c8cd84eb3c9...        83189.65           166               175                475.37
        21  ccc4bbb5f32a6ab2b7066a4...         79261.6           187               192                412.82
        22  cca3071e3e9bb7d12640c9f...        78381.29           712               830                 94.44
        23  8581055ce74af1daba164fd...         74584.3           387               435                171.46
        24  f7ba60f8c3f99e7ee4042fd...        72736.01           219               230                316.24
        25  fe2032dab1a61af8794248c...        70680.95           294               306                230.98
        26  de722cd6dad950a92b7d4f8...        65112.75           339               379                 171.8
        27  7ddcbb64b5bc1ef36ca8c15...        63525.29           334               343                 185.2
        28  04308b1ee57b6625f47df1d...        63184.99            94                94                672.18
        29  f8db351d8c4c4c22c6835c1...         63079.8           667               724                 87.13
        30  218d46b86c1881d022bce9c...        62737.54           388               427                146.93
        31  522620dcb18a6b31cd7bdf7...        61829.81           174               180                 343.5
        32  25c5c91f63607446a97b143...        61679.33           158               269                229.29
        33  17e34d8224d27a541263c4c...         61603.2           255               268                229.86
        34  37be5a7c751166fbc5f8ccb...        61433.88           272               281                218.63
        35  ceaec5548eefc6e23e6607c...        59249.02           203               211                 280.8
        36  b2ba3715d723d245138f291...        58173.02           337               363                160.26
        37  17f51e7198701186712e53a...        57812.43            56                61                947.74
        38  f5a590cf36251cf1162ea35...        57440.94           117               122                470.83
        39  77530e9772f57a62c906e1c...        55063.99           320               389                141.55
        40  8160255418d5aaa7dbdc9f4...         54871.5           385               431                127.31
        41  ea8482cd71df3c1969d7b94...        54722.29          1146              1203                 45.49
        42  e882b2a25a10b9c057cc496...        53913.76            57                58                929.55
        43  4e922959ae960d389249c37...        53304.75           420               454                117.41
        44  e9779976487b77c6d4ac45f...        53302.66           657               750                 71.07
        45  966cb4760537b1404caedd4...        52935.87            75                75                705.81
        46  2bf6a2c1e71bbd29a4ad64e...        51629.49            30                31               1665.47
        47  4d6d651bd7684af3fffabd5...        51486.31           369               395                130.35
        48  c826c40d7b19f62a09e2d7c...        51217.22           354               373                137.31
        49  d91fb3b7d041e83b64a00a3...        50180.51           535               536                 93.62
        50  391fc6631aebcf3004804e5...        50142.83           526               613                  81.8
        51  17a053fcb14bd219540cbde...        49531.57           125               149                332.43
        52  c3cfdc648177fdbbbb35635...        49127.81           278               307                160.03
        53  06a2c3af7b3aee5d69171b0...        48550.24           392               405                119.88
        54  850f4f8af5ea87287ac68de...        48469.77           187               192                252.45
        55  b33e7c55446eabf8fe1a42d...        47710.24           152               155                307.81
        56  eeb6de78f79159600292e31...        46795.28            83                84                557.09
        57  712e6ed8aa4aa1fa65dab41...        46704.13            79                87                536.83
        58  2eb70248d66e0e3ef83659f...         45860.1           202               212                216.32
        59  ba90964cff9b9e0e6f32b23...         45523.5            38                38               1197.99
        60  634964b17796e64304cadf1...        45420.53           268               326                139.33
        61  7142540dd4c91e2237acb7e...        44289.16           319               331                 133.8
        62  834f3294fba9f932f56edc8...        44207.42            66                66                669.81
        63  b839e41795b7f3ad94cc201...        43749.93            33                36               1215.28
        64  c3867b4666c7d76867627c2...        42197.18           245               259                162.92
        65  1835b56ce799e6a4dc4eddc...        42086.16           423               558                 75.42
        66  dbc22125167c298ef99da25...        41789.16           406               429                 97.41
        67  7299e27ed73d2ad986de7f7...        41581.08           338               361                115.18
        68  7178f9f4dd81dcef02f62ac...        41478.92           203               216                192.03
        69  c70c1b0d8ca86052f45a432...        40476.28           261               338                119.75
        70  53e4c6e0f4312d4d2107a8c...        40036.19           473               522                  76.7
        71  855668e0971d4dfd7bef1b6...        40005.36           312               327                122.34
        72  e9bc59e7b60fc3063eb2290...        39031.56           216               269                 145.1
        73  87142160b41353c4e5fca23...        38314.31           305               339                113.02
        74  0241d4d5d36f10f80c64444...        38251.61           238               246                155.49
        75  59417c56835dd8e2e72f91f...        37657.77            18                18                2092.1
        76  76d5af76d0271110f9af36c...        37541.56           131               159                236.11
        77  9c0e69c7bf2619675bbadf4...        36602.96           157               206                177.68
        78  88460e8ebdecbfecb5f9601...         36543.1           248               302                 121.0
