
==============================================================================================================
                                 BAI 6 - REVENUE IN 2024 BY PRODUCT CATEGORY                                  
==============================================================================================================
Product_Category_Name             Total_Revenue_2024  Total_Items_Sold  Total_Orders
------------------------------------------------------------------------------------
Health_Beauty                              885191.12              5951          5402
Watches_Gifts                              771986.75              3703          3493
Bed_Bath_Table                              650794.7              5884          4909
Sports_Leisure                             621999.34              4527          4058
Computers_Accessories                      594771.04              4708          4053
Housewares                                 491576.96              4046          3421
Furniture_Decor                            476466.13              4118          3199
Auto                                       404210.57              2619          2457
Baby                                       299052.56              1776          1667
Cool_Stuff                                 273910.05              1473          1415
Garden_Tools                               259068.32              1879          1535
Telephony                                  217452.13              2336          2159
Perfumery                                  204562.54              1636          1487
Toys                                       200634.07              1488          1409
Office_Furniture                           181745.73               883           648
Stationery                                 164743.85              1533          1397
Pet_Shop                                   152804.94              1159          1014
Construction_Tools_Construction            141187.34               795           643
Electronics                                134265.45              1863          1727
Musical_Instruments                        121476.31               398           375
Small_Appliances                            97210.18               357           323
Home_Appliances_2                            96291.6               149           146
#N/A                                        90849.48               704           645
Fashion_Bags_Accessories                    85091.28               880           830
Luggage_Accessories                         77374.65               494           470
Consoles_Games                               72967.5               420           387
Home_Construction                           69357.77               461           379
Computers                                    67860.8                74            58
Home_Appliances                             66460.24               528           524
Small_Appliances_Home_Oven_An...            49297.59                72            71
Agro_Industry_And_Commerce                  47262.18               151           134
Construction_Tools_Lights                   43867.84               286           227
Furniture_Living_Room                       42774.14               241           213
Industry_Commerce_And_Business              37332.84               229           197
Audio                                       36258.83               195           187
Construction_Tools_Safety                    35409.3               151           130
Kitchen_Dining_Laundry_Garden...            34951.25               161           142
Books_General_Interest                       32252.8               316           290
Fixed_Telephony                             30497.86               102            87
Air_Conditioning                            28889.12               157           134
Food                                        25709.75               382           341
Home_Confort                                24186.81               156           148
Signaling_And_Security                      22413.09               153           105
Drinks                                      21834.06               287           222
Costruction_Tools_Garden                    20492.69               160           130
Art                                         17947.63               168           166
Books_Technical                             16570.43               222           216
Furniture_Bedroom                           13992.43                64            55
Costruction_Tools_Tools                      13448.2                81            76
Fashion_Shoes                               10118.42                71            68
Food_Drink                                   10118.0               147           119
Market_Place                                 9364.01               107            95
Christmas_Supplies                            8078.5                90            78
Cine_Photo                                   7253.71                64            57
Music                                        4994.58                27            27
Books_Imported                               4090.71                44            40
Party_Supplies                               3278.41                32            29
Fashion_Underwear_Beach                      3116.21                43            38
Fashion_Male_Clothing                        2810.41                26            24
Furniture_Mattress_And_Uphols...             2688.64                20            20
Arts_And_Craftmanship                        2008.92                22            21
Diapers_And_Hygiene                          1890.58                36            25
Dvds_Blu_Ray                                 1674.85                25            22
Tablets_Printing_Image                       1541.83                22            20
Flowers                                      1216.64                25            21
La_Cuisine                                    890.85                 4             3
Fashio_Female_Clothing                        783.37                16             8
Fashion_Sport                                 431.19                 5             5
Home_Comfort_2                                283.91                10             7
Fashion_Childrens_Clothes                     194.04                 3             3
Cds_Dvds_Musicals                             117.58                 1             1
------------------------------------------------------------------------------------
Rows shown in this table: 71
